judge	satnorm	weighting	target	metric	n_prompts	core	rand	best_ho	best_in	top_w	top_pop	full	target_reliab	delta_core	ci_lo	ci_hi	eta	eta_lo	eta_hi	eta_in	eta_topw	core_minus_topw	cmt_lo	cmt_hi	core_minus_reliab	cmr_lo	cmr_hi	retention	effect_over_floor	p	bh_survives	K5_admissible
main	z	signed	personal	tau_b	291	0.2713	0.2555	0.3985	0.5205	0.2772	0.2748	0.3123	-0.1565	0.0162	-0.0063	0.0376	0.1136	-0.0444	0.2664	0.0611	0.1529	-0.0055	-0.0272	0.0164	0.4279	0.3954	0.4578	0.8697	1.45	0.14100	0	1
main	z	signed	personal	top1	291	0.4532	0.4456	0.5488	0.6461	0.4714	0.4623	0.4736	-0.1244	0.0076	-0.0158	0.0309	0.0729	-0.1612	0.2924	0.0376	0.2556	-0.0184	-0.0415	0.0047	0.5778	0.5462	0.6070	0.9574	0.65	0.51900	0	1
main	z	signed	personal	pair	291	0.6456	0.6369	0.7135	0.7791	0.6485	0.6478	0.6668	-0.0839	0.0087	-0.0030	0.0200	0.1131	-0.0400	0.2644	0.0608	0.1520	-0.0029	-0.0145	0.0097	0.7292	0.7116	0.7465	0.9683	1.45	0.14600	0	1
main	z	signed	personal	veto	285	0.5765	0.5781	0.6711	0.8110	0.5869	0.5834	0.6328	-0.1698	-0.0012	-0.0279	0.0260	-0.0161	-0.3313	0.2740	-0.0055	0.0991	-0.0102	-0.0388	0.0197	0.7462	0.7112	0.7821	0.9123	0.09	0.92900	0	1
main	z	signed	world	tau_b	966	0.2914	0.2657	0.4384	0.5418	0.2817	0.2879	0.3248	-0.1174	0.0257	0.0140	0.0368	0.1487	0.0811	0.2156	0.0929	0.0926	0.0097	-0.0031	0.0228	0.4087	0.3914	0.4263	0.8975	4.39	0.00050	1	1
main	z	signed	world	top1	966	0.4986	0.4735	0.6030	0.6781	0.4923	0.4861	0.5165	-0.0849	0.0252	0.0138	0.0369	0.1954	0.1058	0.2848	0.1234	0.1443	0.0066	-0.0063	0.0200	0.5837	0.5673	0.6001	0.9655	4.27	0.00050	1	1
main	z	signed	world	pair	966	0.6579	0.6440	0.7364	0.7925	0.6528	0.6562	0.6757	-0.0641	0.0138	0.0071	0.0203	0.1498	0.0759	0.2189	0.0930	0.0955	0.0050	-0.0026	0.0123	0.7219	0.7124	0.7314	0.9736	4.14	0.00050	1	1
main	z	signed	world	veto	285	0.5765	0.5781	0.6711	0.8110	0.5869	0.5834	0.6328	-0.1694	-0.0016	-0.0298	0.0248	-0.0196	-0.3405	0.2740	-0.0070	0.0953	-0.0102	-0.0405	0.0195	0.7460	0.7080	0.7838	0.9111	0.11	0.91500	0	1
phi	raw	uniform	intrinsic	tau_b	966	0.5491	0.4119	0.5659	0.9301	0.5949	0.4773	0.5086	0.5458	0.1372	0.1193	0.1549	0.8928	0.7710	1.0215	0.2646	1.1928	-0.0460	-0.0658	-0.0261	0.0031	-0.0191	0.0245	1.0800	14.88	0.00050	1	1
phi	raw	uniform	intrinsic	top1	966	0.5841	0.4904	0.6057	0.9404	0.6273	0.5365	0.5424	0.6015	0.0939	0.0745	0.1132	0.8185	0.6511	1.0174	0.2086	1.1993	-0.0435	-0.0670	-0.0205	-0.0173	-0.0412	0.0062	1.0780	9.35	0.00050	1	1
phi	raw	uniform	intrinsic	pair	966	0.7746	0.7059	0.7830	0.9650	0.7974	0.7386	0.7543	0.7731	0.0687	0.0601	0.0779	0.8926	0.7791	1.0252	0.2651	1.1904	-0.0229	-0.0327	-0.0125	0.0014	-0.0089	0.0127	1.0270	15.31	0.00050	1	1
phi	raw	uniform	personal	tau_b	291	0.2575	0.1681	0.3604	0.4643	0.2625	0.1845	0.1991	-0.1565	0.0889	0.0670	0.1118	0.4649	0.3505	0.5831	0.3006	0.4906	-0.0050	-0.0300	0.0214	0.4135	0.3775	0.4472	1.2953	7.75	0.00050	1	1
phi	raw	uniform	personal	top1	291	0.4284	0.3828	0.5101	0.5977	0.4489	0.3842	0.4030	-0.1243	0.0455	0.0219	0.0694	0.3607	0.1789	0.5411	0.2122	0.5243	-0.0207	-0.0465	0.0055	0.5521	0.5188	0.5822	1.0626	3.84	0.00050	1	1
phi	raw	uniform	personal	pair	291	0.6388	0.5918	0.6937	0.7497	0.6420	0.6002	0.6085	-0.0839	0.0472	0.0357	0.0585	0.4637	0.3517	0.5778	0.2983	0.4942	-0.0031	-0.0160	0.0097	0.7227	0.7046	0.7411	1.0499	8.03	0.00050	1	1
phi	raw	uniform	personal	veto	285	0.5997	0.5256	0.6660	0.7795	0.5937	0.5395	0.5395	-0.1693	0.0741	0.0472	0.1014	0.5307	0.3459	0.7426	0.2917	0.4909	0.0056	-0.0271	0.0382	0.7683	0.7287	0.8059	1.1125	5.27	0.00050	1	1
phi	raw	uniform	world	tau_b	966	0.2992	0.1891	0.4177	0.5016	0.2916	0.2036	0.2193	-0.1175	0.1100	0.0971	0.1228	0.4815	0.4298	0.5336	0.3520	0.4495	0.0073	-0.0075	0.0215	0.4166	0.3985	0.4341	1.3655	16.89	0.00050	1	1
phi	raw	uniform	world	top1	966	0.4855	0.4178	0.5809	0.6490	0.4923	0.4202	0.4383	-0.0849	0.0677	0.0546	0.0805	0.4158	0.3359	0.4924	0.2930	0.4558	-0.0065	-0.0224	0.0088	0.5704	0.5537	0.5862	1.1080	10.09	0.00050	1	1
phi	raw	uniform	world	pair	966	0.6623	0.6029	0.7255	0.7710	0.6584	0.6106	0.6194	-0.0640	0.0595	0.0526	0.0666	0.4851	0.4310	0.5392	0.3538	0.4532	0.0039	-0.0039	0.0122	0.7264	0.7171	0.7359	1.0697	16.64	0.00050	1	1
phi	raw	uniform	world	veto	285	0.5997	0.5256	0.6660	0.7795	0.5937	0.5395	0.5395	-0.1697	0.0745	0.0478	0.1018	0.5336	0.3462	0.7438	0.2928	0.4884	0.0064	-0.0268	0.0399	0.7694	0.7295	0.8059	1.1134	5.28	0.00050	1	1
