judge	satnorm	weighting	target	metric	n_prompts	core	rand	best_ho	best_in	top_w	top_pop	full	target_reliab	delta_core	ci_lo	ci_hi	eta	eta_lo	eta_hi	eta_in	eta_topw	core_minus_topw	cmt_lo	cmt_hi	core_minus_reliab	cmr_lo	cmr_hi	retention	effect_over_floor	p	bh_survives	K5_admissible
qwen3b	raw	signed	intrinsic	top1	966	0.6612	0.6126	0.6866	0.9990	0.6939	0.6754	0.8267	0.6862	0.0488	0.0268	0.0700	0.6650	0.3717	0.9803	0.1264	1.1080	-0.0323	-0.0576	-0.0071	-0.0246	-0.0492	-0.0007	0.8002	4.52	0.00050	1	1
qwen3b	raw	signed	intrinsic	pair	966	0.7862	0.7576	0.8001	0.9984	0.8031	0.8043	0.8919	0.7997	0.0287	0.0195	0.0375	0.6754	0.4560	0.9132	0.1190	1.0744	-0.0169	-0.0277	-0.0061	-0.0134	-0.0243	-0.0028	0.8815	6.09	0.00050	1	1
qwen3b	raw	signed	personal	tau_b	291	0.2912	0.2504	0.3948	0.5266	0.2997	0.2718	0.3303	-0.1565	0.0406	0.0178	0.0634	0.2809	0.1246	0.4336	0.1466	0.3426	-0.0087	-0.0356	0.0191	0.4474	0.4170	0.4751	0.8812	3.46	0.00200	1	1
qwen3b	raw	signed	personal	top1	291	0.4812	0.4460	0.5486	0.6546	0.4956	0.4572	0.4994	-0.1240	0.0355	0.0110	0.0591	0.3468	0.1096	0.5836	0.1697	0.4880	-0.0144	-0.0430	0.0144	0.6054	0.5771	0.6333	0.9641	2.96	0.00300	1	1
qwen3b	raw	signed	personal	pair	291	0.6570	0.6352	0.7120	0.7827	0.6613	0.6475	0.6778	-0.0839	0.0219	0.0095	0.0334	0.2860	0.1282	0.4416	0.1484	0.3413	-0.0041	-0.0184	0.0104	0.7411	0.7256	0.7571	0.9696	3.55	0.00050	1	1
qwen3b	raw	signed	personal	veto	285	0.5798	0.5673	0.6716	0.8197	0.6145	0.5880	0.6328	-0.1695	0.0124	-0.0166	0.0426	0.1193	-0.1697	0.4061	0.0490	0.4573	-0.0346	-0.0690	-0.0014	0.7496	0.7111	0.7872	0.9163	0.84	0.39300	0	1
qwen3b	raw	signed	world	tau_b	966	0.3094	0.2649	0.4401	0.5446	0.3214	0.2957	0.3485	-0.1175	0.0445	0.0318	0.0579	0.2541	0.1820	0.3284	0.1592	0.3225	-0.0120	-0.0262	0.0029	0.4270	0.4111	0.4436	0.8881	6.74	0.00050	1	1
qwen3b	raw	signed	world	top1	966	0.5113	0.4779	0.6065	0.6838	0.5255	0.4903	0.5395	-0.0847	0.0332	0.0204	0.0459	0.2584	0.1555	0.3604	0.1612	0.3697	-0.0143	-0.0298	0.0020	0.5959	0.5789	0.6122	0.9473	5.06	0.00050	1	1
qwen3b	raw	signed	world	pair	966	0.6675	0.6436	0.7376	0.7941	0.6743	0.6603	0.6888	-0.0640	0.0239	0.0168	0.0308	0.2541	0.1804	0.3272	0.1587	0.3262	-0.0068	-0.0149	0.0018	0.7314	0.7223	0.7404	0.9692	6.61	0.00050	1	1
qwen3b	raw	signed	world	veto	285	0.5798	0.5673	0.6716	0.8197	0.6145	0.5880	0.6328	-0.1697	0.0126	-0.0169	0.0417	0.1196	-0.1761	0.3970	0.0493	0.4597	-0.0348	-0.0693	-0.0019	0.7498	0.7128	0.7861	0.9167	0.83	0.40700	0	1
qwen3b	z	uniform	intrinsic	tau_b	966	0.5264	0.3970	0.5507	0.9713	0.5953	0.4357	0.5228	0.5405	0.1295	0.1101	0.1474	0.8444	0.7284	0.9727	0.2255	1.2937	-0.0688	-0.0890	-0.0497	-0.0140	-0.0337	0.0066	1.0073	13.90	0.00050	1	1
qwen3b	z	uniform	intrinsic	top1	966	0.6196	0.5364	0.6343	0.9869	0.6875	0.5508	0.6323	0.6299	0.0830	0.0629	0.1025	0.8526	0.6340	1.1181	0.1842	1.5573	-0.0685	-0.0921	-0.0439	-0.0108	-0.0356	0.0143	0.9794	8.14	0.00050	1	1
qwen3b	z	uniform	intrinsic	pair	966	0.7632	0.6985	0.7753	0.9857	0.7977	0.7179	0.7614	0.7703	0.0648	0.0558	0.0736	0.8441	0.7268	0.9676	0.2257	1.2920	-0.0343	-0.0440	-0.0244	-0.0070	-0.0170	0.0033	1.0025	14.40	0.00050	1	1
qwen3b	z	uniform	personal	tau_b	291	0.2991	0.1764	0.3817	0.5018	0.2950	0.1969	0.2204	-0.1565	0.1231	0.0996	0.1478	0.6001	0.4955	0.7076	0.3781	0.5797	0.0042	-0.0222	0.0303	0.4559	0.4269	0.4848	1.3637	10.16	0.00050	1	1
qwen3b	z	uniform	personal	top1	291	0.4885	0.4032	0.5422	0.6351	0.4969	0.3903	0.4243	-0.1244	0.0849	0.0626	0.1080	0.6140	0.4542	0.7793	0.3665	0.6744	-0.0084	-0.0348	0.0193	0.6126	0.5833	0.6417	1.1504	7.26	0.00050	1	1
qwen3b	z	uniform	personal	pair	291	0.6608	0.5955	0.7053	0.7696	0.6586	0.6060	0.6189	-0.0838	0.0653	0.0529	0.0781	0.5958	0.4932	0.6946	0.3751	0.5744	0.0024	-0.0114	0.0163	0.7445	0.7281	0.7603	1.0679	10.16	0.00050	1	1
qwen3b	z	uniform	personal	veto	285	0.5907	0.5031	0.6697	0.8048	0.5990	0.5438	0.5303	-0.1699	0.0881	0.0577	0.1168	0.5314	0.3558	0.7166	0.2917	0.5787	-0.0076	-0.0437	0.0275	0.7609	0.7247	0.7963	1.1157	5.80	0.00050	1	1
qwen3b	z	uniform	world	tau_b	966	0.3111	0.2032	0.4327	0.5304	0.3102	0.1996	0.2574	-0.1175	0.1079	0.0953	0.1210	0.4705	0.4172	0.5252	0.3299	0.4663	0.0010	-0.0137	0.0157	0.4289	0.4115	0.4452	1.2096	16.56	0.00050	1	1
qwen3b	z	uniform	world	top1	966	0.5136	0.4411	0.5981	0.6703	0.5250	0.4262	0.4777	-0.0850	0.0725	0.0591	0.0854	0.4625	0.3791	0.5416	0.3164	0.5349	-0.0113	-0.0277	0.0047	0.5985	0.5825	0.6140	1.0754	10.78	0.00050	1	1
qwen3b	z	uniform	world	pair	966	0.6685	0.6108	0.7336	0.7865	0.6686	0.6082	0.6398	-0.0641	0.0577	0.0510	0.0647	0.4704	0.4170	0.5224	0.3285	0.4701	0.0000	-0.0078	0.0084	0.7326	0.7234	0.7416	1.0448	16.20	0.00050	1	1
qwen3b	z	uniform	world	veto	285	0.5907	0.5031	0.6697	0.8048	0.5990	0.5438	0.5303	-0.1690	0.0877	0.0599	0.1157	0.5279	0.3584	0.7070	0.2907	0.5772	-0.0081	-0.0416	0.0258	0.7599	0.7241	0.7961	1.1137	6.03	0.00050	1	1
qwen3b	z	signed	intrinsic	tau_b	966	0.5264	0.4947	0.5414	0.9982	0.5925	0.5703	0.7509	0.5401	0.0314	0.0131	0.0490	0.6854	0.2889	1.1215	0.0623	2.1589	-0.0668	-0.0873	-0.0475	-0.0142	-0.0349	0.0059	0.7006	3.48	0.00200	1	1
qwen3b	z	signed	intrinsic	top1	966	0.6196	0.6001	0.6301	0.9995	0.6841	0.6475	0.7945	0.6293	0.0197	-0.0004	0.0403	0.3227	-0.0309	1.8662	0.0492	1.3404	-0.0643	-0.0897	-0.0401	-0.0098	-0.0352	0.0150	0.7801	1.90	0.05400	0	1
qwen3b	z	signed	intrinsic	pair	966	0.7632	0.7474	0.7707	0.9991	0.7963	0.7852	0.8754	0.7704	0.0159	0.0069	0.0248	0.6870	0.2889	1.1393	0.0630	2.1325	-0.0331	-0.0432	-0.0229	-0.0071	-0.0175	0.0033	0.8718	3.43	0.00200	1	1
qwen3b	z	signed	personal	tau_b	291	0.2991	0.2304	0.3925	0.5246	0.2965	0.2783	0.3083	-0.1565	0.0686	0.0439	0.0932	0.4227	0.2746	0.5686	0.2327	0.4075	0.0026	-0.0254	0.0302	0.4553	0.4260	0.4833	0.9693	5.32	0.00050	1	1
qwen3b	z	signed	personal	top1	291	0.4885	0.4340	0.5466	0.6501	0.4998	0.4679	0.4942	-0.1240	0.0544	0.0296	0.0789	0.4862	0.2588	0.7099	0.2521	0.5927	-0.0118	-0.0399	0.0153	0.6126	0.5812	0.6426	0.9888	4.38	0.00050	1	1
qwen3b	z	signed	personal	pair	291	0.6608	0.6236	0.7118	0.7817	0.6595	0.6506	0.6653	-0.0837	0.0373	0.0233	0.0506	0.4226	0.2719	0.5663	0.2356	0.4089	0.0013	-0.0135	0.0166	0.7447	0.7288	0.7598	0.9931	5.25	0.00050	1	1
qwen3b	z	signed	personal	veto	285	0.5907	0.5507	0.6741	0.8208	0.5945	0.5941	0.6263	-0.1693	0.0399	0.0068	0.0713	0.3230	0.0582	0.5784	0.1472	0.3539	-0.0037	-0.0390	0.0316	0.7596	0.7226	0.7952	0.9432	2.41	0.01500	1	1
qwen3b	z	signed	world	tau_b	966	0.3111	0.2470	0.4400	0.5465	0.3083	0.2933	0.3409	-0.1174	0.0642	0.0508	0.0779	0.3327	0.2631	0.3982	0.2144	0.3173	0.0030	-0.0117	0.0182	0.4286	0.4130	0.4444	0.9132	9.20	0.00050	1	1
qwen3b	z	signed	world	top1	966	0.5136	0.4669	0.6059	0.6819	0.5235	0.4971	0.5325	-0.0849	0.0467	0.0330	0.0597	0.3373	0.2352	0.4348	0.2176	0.4107	-0.0101	-0.0267	0.0056	0.5987	0.5819	0.6149	0.9648	6.79	0.00050	1	1
qwen3b	z	signed	world	pair	966	0.6685	0.6337	0.7373	0.7952	0.6675	0.6591	0.6844	-0.0641	0.0348	0.0272	0.0420	0.3361	0.2677	0.4026	0.2156	0.3272	0.0009	-0.0074	0.0086	0.7325	0.7236	0.7408	0.9768	9.24	0.00050	1	1
qwen3b	z	signed	world	veto	285	0.5907	0.5507	0.6741	0.8208	0.5945	0.5941	0.6263	-0.1690	0.0401	0.0088	0.0725	0.3242	0.0680	0.5841	0.1480	0.3548	-0.0036	-0.0368	0.0296	0.7599	0.7232	0.7959	0.9438	2.45	0.01500	1	1
v_default	raw	uniform	intrinsic	tau_b	300	0.6496	0.4254	0.6707	0.9724	0.7016	0.4591	0.5116	0.6608	0.2240	0.1899	0.2592	0.9164	0.7902	1.0522	0.4096	1.1302	-0.0521	-0.0860	-0.0189	-0.0112	-0.0462	0.0232	1.2721	12.30	0.00050	1	1
v_default	raw	uniform	intrinsic	top1	300	0.6960	0.5298	0.7033	0.9780	0.7257	0.5503	0.5660	0.7022	0.1661	0.1295	0.2046	0.9612	0.7464	1.2012	0.3703	1.1347	-0.0299	-0.0720	0.0110	-0.0067	-0.0480	0.0323	1.2316	8.77	0.00050	1	1
v_default	raw	uniform	intrinsic	pair	300	0.8248	0.7127	0.8353	0.9862	0.8508	0.7296	0.7558	0.8307	0.1119	0.0941	0.1295	0.9143	0.7835	1.0538	0.4090	1.1298	-0.0263	-0.0431	-0.0087	-0.0059	-0.0234	0.0116	1.0908	12.24	0.00050	1	1
v_default	raw	uniform	personal	tau_b	87	0.2909	0.0989	0.3641	0.4634	0.2909	0.1088	0.1217	-0.1643	0.1916	0.1487	0.2358	0.7254	0.5917	0.8662	0.5260	0.7261	-0.0002	-0.0383	0.0370	0.4554	0.3950	0.5115	2.5938	8.40	0.00050	1	1
v_default	raw	uniform	personal	top1	87	0.4337	0.3365	0.5261	0.6096	0.4662	0.3119	0.3396	-0.1166	0.0971	0.0558	0.1408	0.5198	0.2894	0.7792	0.3571	0.6923	-0.0325	-0.0822	0.0169	0.5516	0.4888	0.6165	1.2802	4.41	0.00050	1	1
v_default	raw	uniform	personal	pair	87	0.6546	0.5525	0.6954	0.7479	0.6556	0.5563	0.5644	-0.0868	0.1020	0.0783	0.1274	0.7148	0.5733	0.8556	0.5213	0.7240	-0.0014	-0.0229	0.0192	0.7417	0.7088	0.7732	1.1600	8.07	0.00050	1	1
v_default	raw	uniform	personal	veto	86	0.5815	0.4532	0.6013	0.7351	0.5986	0.4825	0.4735	-0.1875	0.1291	0.0771	0.1813	0.8850	0.5484	1.2801	0.4566	0.9985	-0.0163	-0.0673	0.0380	0.7701	0.7000	0.8397	1.2341	4.84	0.00050	1	1
v_default	raw	uniform	world	tau_b	300	0.2965	0.1336	0.4113	0.4997	0.3054	0.1279	0.1596	-0.1165	0.1630	0.1384	0.1882	0.5875	0.5108	0.6671	0.4453	0.6178	-0.0084	-0.0336	0.0180	0.4132	0.3830	0.4431	1.8778	12.64	0.00050	1	1
v_default	raw	uniform	world	top1	300	0.4917	0.3849	0.5852	0.6540	0.5111	0.3741	0.3864	-0.0866	0.1067	0.0823	0.1312	0.5343	0.4115	0.6556	0.3969	0.6302	-0.0191	-0.0463	0.0067	0.5786	0.5465	0.6094	1.2737	8.38	0.00050	1	1
v_default	raw	uniform	world	pair	300	0.6610	0.5718	0.7218	0.7700	0.6660	0.5687	0.5859	-0.0635	0.0891	0.0756	0.1027	0.5935	0.5168	0.6724	0.4490	0.6262	-0.0049	-0.0189	0.0096	0.7242	0.7077	0.7407	1.1280	12.64	0.00050	1	1
v_default	raw	uniform	world	veto	86	0.5815	0.4532	0.6013	0.7351	0.5986	0.4825	0.4735	-0.1870	0.1285	0.0780	0.1816	0.8845	0.5641	1.2678	0.4565	0.9935	-0.0161	-0.0652	0.0354	0.7697	0.6987	0.8376	1.2320	4.92	0.00050	1	1
v_default	raw	signed	intrinsic	tau_b	300	0.6496	0.6092	0.6629	0.9976	0.7027	0.6776	0.8196	0.6608	0.0400	0.0099	0.0692	0.7670	0.1935	1.4615	0.1029	1.8067	-0.0534	-0.0862	-0.0196	-0.0118	-0.0453	0.0226	0.7919	2.62	0.00900	1	1
v_default	raw	signed	intrinsic	top1	300	0.6960	0.6704	0.7023	0.9970	0.7327	0.7390	0.8343	0.7023	0.0255	-0.0081	0.0590	1.0624	-0.4856	3.8187	0.0782	2.4403	-0.0370	-0.0780	0.0053	-0.0063	-0.0470	0.0327	0.8342	1.52	0.14000	0	0
v_default	raw	signed	intrinsic	pair	300	0.8248	0.8046	0.8314	0.9988	0.8513	0.8388	0.9098	0.8303	0.0203	0.0051	0.0354	0.7818	0.1952	1.5256	0.1042	1.8068	-0.0263	-0.0437	-0.0089	-0.0056	-0.0234	0.0117	0.9066	2.62	0.00900	1	1
v_default	raw	signed	personal	tau_b	87	0.2909	0.2763	0.3838	0.5060	0.2937	0.2655	0.3315	-0.1642	0.0145	-0.0241	0.0539	0.1404	-0.2251	0.5279	0.0634	0.1661	-0.0026	-0.0417	0.0354	0.4550	0.3949	0.5130	0.8786	0.72	0.46100	0	1
v_default	raw	signed	personal	top1	87	0.4337	0.4503	0.5453	0.6379	0.4613	0.4314	0.4912	-0.1168	-0.0161	-0.0624	0.0294	-0.1777	-0.7435	0.3112	-0.0873	0.1156	-0.0264	-0.0756	0.0204	0.5504	0.4879	0.6109	0.8854	0.68	0.50500	0	1
v_default	raw	signed	personal	pair	87	0.6546	0.6478	0.7072	0.7712	0.6570	0.6427	0.6766	-0.0870	0.0067	-0.0137	0.0272	0.1178	-0.2291	0.4713	0.0551	0.1545	-0.0021	-0.0230	0.0180	0.7408	0.7056	0.7714	0.9674	0.64	0.52300	0	1
v_default	raw	signed	personal	veto	86	0.5815	0.5915	0.6457	0.7959	0.6033	0.5847	0.6322	-0.1855	-0.0106	-0.0576	0.0334	-0.1698	-1.3998	0.8407	-0.0527	0.3978	-0.0218	-0.0731	0.0297	0.7663	0.6949	0.8359	0.9194	0.46	0.64300	0	1
v_default	raw	signed	world	tau_b	300	0.2965	0.2846	0.4366	0.5345	0.3040	0.2903	0.3450	-0.1165	0.0117	-0.0094	0.0318	0.0768	-0.0636	0.2096	0.0466	0.1259	-0.0074	-0.0329	0.0186	0.4130	0.3823	0.4440	0.8593	1.11	0.26600	0	1
v_default	raw	signed	world	top1	300	0.4917	0.4859	0.5999	0.6733	0.5089	0.4891	0.5305	-0.0865	0.0057	-0.0159	0.0257	0.0505	-0.1387	0.2308	0.0306	0.2039	-0.0174	-0.0419	0.0076	0.5783	0.5482	0.6091	0.9274	0.55	0.56400	0	1
v_default	raw	signed	world	pair	300	0.6610	0.6546	0.7351	0.7888	0.6651	0.6582	0.6872	-0.0635	0.0065	-0.0049	0.0179	0.0805	-0.0613	0.2218	0.0482	0.1319	-0.0041	-0.0181	0.0094	0.7246	0.7077	0.7421	0.9622	1.11	0.25800	0	1
v_default	raw	signed	world	veto	86	0.5815	0.5915	0.6457	0.7959	0.6033	0.5847	0.6322	-0.1868	-0.0101	-0.0568	0.0343	-0.2156	-1.5172	0.8123	-0.0507	0.3033	-0.0219	-0.0715	0.0249	0.7673	0.6963	0.8377	0.9199	0.44	0.66300	0	1
v_default	z	uniform	intrinsic	tau_b	300	0.6287	0.4300	0.6271	0.9696	0.6822	0.4827	0.5449	0.6162	0.1985	0.1651	0.2295	1.0089	0.8507	1.1823	0.3676	1.2864	-0.0543	-0.0876	-0.0231	0.0121	-0.0217	0.0449	1.1551	11.79	0.00050	1	1
v_default	z	uniform	intrinsic	top1	300	0.6897	0.5243	0.6723	0.9760	0.7270	0.5480	0.5823	0.6687	0.1654	0.1285	0.2012	1.1329	0.8714	1.4541	0.3659	1.3885	-0.0371	-0.0750	0.0017	0.0207	-0.0200	0.0593	1.1849	8.88	0.00050	1	1
v_default	z	uniform	intrinsic	pair	300	0.8143	0.7150	0.8136	0.9848	0.8411	0.7413	0.7724	0.8082	0.0992	0.0815	0.1155	1.0108	0.8487	1.1837	0.3676	1.2838	-0.0267	-0.0449	-0.0107	0.0062	-0.0109	0.0229	1.0541	11.50	0.00050	1	1
v_default	z	uniform	personal	tau_b	87	0.2658	0.1126	0.3556	0.4578	0.2863	0.1101	0.1494	-0.1644	0.1536	0.1093	0.2002	0.6333	0.4533	0.8048	0.4441	0.7169	-0.0203	-0.0669	0.0229	0.4301	0.3658	0.4892	1.8646	6.59	0.00050	1	1
v_default	z	uniform	personal	top1	87	0.4329	0.3402	0.5191	0.6008	0.4774	0.3253	0.3432	-0.1166	0.0924	0.0504	0.1369	0.5183	0.2972	0.7637	0.3540	0.7723	-0.0449	-0.0920	0.0043	0.5496	0.4889	0.6095	1.2632	4.18	0.00050	1	1
v_default	z	uniform	personal	pair	87	0.6414	0.5599	0.6916	0.7448	0.6532	0.5566	0.5794	-0.0869	0.0818	0.0569	0.1064	0.6212	0.4464	0.7877	0.4415	0.7102	-0.0117	-0.0359	0.0115	0.7283	0.6950	0.7605	1.1083	6.42	0.00050	1	1
v_default	z	uniform	personal	veto	86	0.5485	0.4567	0.6232	0.7427	0.5798	0.4731	0.5077	-0.1876	0.0914	0.0407	0.1435	0.5588	0.2667	0.8790	0.3204	0.7530	-0.0313	-0.0802	0.0148	0.7362	0.6651	0.8110	1.0808	3.58	0.00100	1	1
v_default	z	uniform	world	tau_b	300	0.2875	0.1433	0.4058	0.4953	0.3006	0.1417	0.1821	-0.1165	0.1444	0.1193	0.1686	0.5497	0.4648	0.6381	0.4100	0.5977	-0.0126	-0.0394	0.0134	0.4040	0.3729	0.4349	1.5929	11.46	0.00050	1	1
v_default	z	uniform	world	top1	300	0.4892	0.3886	0.5799	0.6477	0.5081	0.3842	0.4025	-0.0869	0.1001	0.0765	0.1232	0.5256	0.4042	0.6502	0.3870	0.6258	-0.0190	-0.0455	0.0077	0.5758	0.5441	0.6050	1.2148	8.14	0.00050	1	1
v_default	z	uniform	world	pair	300	0.6562	0.5771	0.7190	0.7677	0.6632	0.5758	0.5982	-0.0636	0.0790	0.0651	0.0926	0.5573	0.4694	0.6405	0.4147	0.6066	-0.0070	-0.0218	0.0066	0.7196	0.7022	0.7367	1.0971	11.25	0.00050	1	1
v_default	z	uniform	world	veto	86	0.5485	0.4567	0.6232	0.7427	0.5798	0.4731	0.5077	-0.1863	0.0915	0.0429	0.1395	0.5571	0.2726	0.8752	0.3207	0.7504	-0.0315	-0.0803	0.0124	0.7349	0.6615	0.8085	1.0820	3.67	0.00050	1	1
v_default	z	signed	intrinsic	tau_b	300	0.6287	0.5932	0.6180	0.9980	0.6862	0.6404	0.7973	0.6158	0.0357	0.0063	0.0629	1.3665	0.0762	6.8112	0.0880	3.7916	-0.0576	-0.0924	-0.0244	0.0127	-0.0228	0.0452	0.7883	2.50	0.01600	1	0
v_default	z	signed	intrinsic	top1	300	0.6897	0.6557	0.6700	0.9973	0.7230	0.7033	0.8170	0.6695	0.0337	0.0001	0.0661	2.8596	-18.3302	29.4645	0.0987	6.5565	-0.0346	-0.0747	0.0037	0.0201	-0.0197	0.0560	0.8441	1.99	0.04900	0	0
v_default	z	signed	intrinsic	pair	300	0.8143	0.7966	0.8090	0.9990	0.8431	0.8202	0.8987	0.8079	0.0178	0.0032	0.0316	1.3090	0.0905	6.5446	0.0880	4.0457	-0.0289	-0.0458	-0.0124	0.0064	-0.0109	0.0233	0.9061	2.44	0.02300	1	0
v_default	z	signed	personal	tau_b	87	0.2658	0.2690	0.3922	0.5148	0.2962	0.2710	0.3100	-0.1647	-0.0029	-0.0477	0.0384	-0.0260	-0.4031	0.3197	-0.0122	0.2286	-0.0304	-0.0752	0.0110	0.4304	0.3718	0.4890	0.8610	0.13	0.92400	0	1
v_default	z	signed	personal	top1	87	0.4329	0.4360	0.5647	0.6537	0.4755	0.4367	0.4570	-0.1169	-0.0035	-0.0489	0.0400	-0.0288	-0.3883	0.3145	-0.0164	0.3214	-0.0433	-0.0921	0.0040	0.5500	0.4881	0.6104	0.9475	0.15	0.88800	0	1
v_default	z	signed	personal	pair	87	0.6414	0.6438	0.7110	0.7753	0.6582	0.6452	0.6655	-0.0870	-0.0021	-0.0258	0.0209	-0.0326	-0.4167	0.3229	-0.0161	0.2227	-0.0167	-0.0394	0.0054	0.7287	0.6943	0.7619	0.9644	0.17	0.88200	0	1
v_default	z	signed	personal	veto	86	0.5485	0.5895	0.6537	0.8033	0.5919	0.5763	0.6443	-0.1878	-0.0404	-0.0858	0.0022	-0.7257	-2.4120	0.0456	-0.1908	0.1227	-0.0435	-0.0898	0.0019	0.7370	0.6660	0.8065	0.8525	1.73	0.06900	0	1
v_default	z	signed	world	tau_b	300	0.2875	0.2758	0.4399	0.5401	0.3061	0.2853	0.3321	-0.1165	0.0113	-0.0112	0.0320	0.0686	-0.0681	0.1934	0.0426	0.1841	-0.0188	-0.0442	0.0061	0.4033	0.3729	0.4325	0.8649	1.03	0.29300	0	1
v_default	z	signed	world	top1	300	0.4892	0.4768	0.6031	0.6790	0.5044	0.4906	0.5220	-0.0869	0.0122	-0.0094	0.0333	0.0981	-0.0762	0.2734	0.0607	0.2198	-0.0152	-0.0413	0.0117	0.5756	0.5447	0.6081	0.9374	1.15	0.25700	0	1
v_default	z	signed	world	pair	300	0.6562	0.6497	0.7368	0.7916	0.6661	0.6554	0.6803	-0.0637	0.0064	-0.0049	0.0180	0.0742	-0.0572	0.2065	0.0454	0.1888	-0.0099	-0.0229	0.0035	0.7196	0.7022	0.7367	0.9646	1.09	0.27300	0	1
v_default	z	signed	world	veto	86	0.5485	0.5895	0.6537	0.8033	0.5919	0.5763	0.6443	-0.1876	-0.0414	-0.0886	0.0031	-0.8835	-2.3572	0.0590	-0.1953	0.1389	-0.0439	-0.0937	0.0022	0.7352	0.6616	0.8105	0.8507	1.77	0.06900	0	1
v_nofewshot	raw	uniform	intrinsic	tau_b	300	0.5950	0.4752	0.6241	0.9134	0.6399	0.4992	0.5248	0.5888	0.1196	0.0931	0.1466	0.8094	0.6443	1.0020	0.2729	1.1164	-0.0451	-0.0720	-0.0176	0.0058	-0.0272	0.0372	1.1338	8.66	0.00050	1	1
v_nofewshot	raw	uniform	intrinsic	top1	300	0.6417	0.5687	0.6700	0.9290	0.6933	0.5853	0.6107	0.6411	0.0725	0.0407	0.1042	0.7374	0.4015	1.1681	0.2013	1.2692	-0.0519	-0.0863	-0.0160	0.0004	-0.0430	0.0423	1.0507	4.48	0.00050	1	1
v_nofewshot	raw	uniform	intrinsic	pair	300	0.7975	0.7376	0.8121	0.9567	0.8199	0.7496	0.7624	0.7941	0.0600	0.0462	0.0738	0.8112	0.6500	1.0076	0.2732	1.1184	-0.0226	-0.0363	-0.0090	0.0031	-0.0136	0.0194	1.0465	8.65	0.00050	1	1
v_nofewshot	raw	uniform	personal	tau_b	87	0.1319	-0.0020	0.2275	0.3068	0.1323	0.0102	-0.0106	-0.1641	0.1325	0.0867	0.1816	0.5793	0.4403	0.7142	0.4287	0.5811	-0.0005	-0.0340	0.0346	0.2949	0.2264	0.3593	7.9810	5.58	0.00050	1	1
v_nofewshot	raw	uniform	personal	top1	87	0.3284	0.2749	0.4252	0.4825	0.3565	0.2954	0.2776	-0.1168	0.0538	0.0140	0.0950	0.3602	0.0946	0.6499	0.2578	0.5489	-0.0285	-0.0835	0.0262	0.4449	0.3852	0.5063	1.1936	2.61	0.00700	1	1
v_nofewshot	raw	uniform	personal	pair	87	0.5692	0.4966	0.6215	0.6636	0.5706	0.5018	0.4918	-0.0868	0.0724	0.0472	0.0992	0.5805	0.4280	0.7208	0.4322	0.5921	-0.0014	-0.0200	0.0174	0.6564	0.6183	0.6947	1.1575	5.38	0.00050	1	1
v_nofewshot	raw	uniform	personal	veto	86	0.5079	0.3916	0.5546	0.6631	0.5213	0.3839	0.3742	-0.1876	0.1157	0.0668	0.1668	0.7240	0.4450	1.0205	0.4269	0.8178	-0.0140	-0.0571	0.0284	0.6957	0.6249	0.7639	1.3618	4.47	0.00050	1	1
v_nofewshot	raw	uniform	world	tau_b	300	0.0753	-0.0180	0.2679	0.3359	0.1008	-0.0202	-0.0223	-0.1164	0.0934	0.0708	0.1149	0.3267	0.2535	0.3988	0.2638	0.4158	-0.0255	-0.0498	-0.0003	0.1917	0.1518	0.2321	40.9534	8.19	0.00050	1	1
v_nofewshot	raw	uniform	world	top1	300	0.3295	0.2870	0.4823	0.5320	0.3561	0.2857	0.2907	-0.0867	0.0428	0.0230	0.0634	0.2199	0.1163	0.3247	0.1751	0.3549	-0.0263	-0.0496	-0.0023	0.4161	0.3830	0.4513	1.1359	4.14	0.00050	1	1
v_nofewshot	raw	uniform	world	pair	300	0.5397	0.4882	0.6450	0.6814	0.5542	0.4865	0.4855	-0.0635	0.0516	0.0392	0.0643	0.3289	0.2556	0.4036	0.2667	0.4203	-0.0143	-0.0280	-0.0003	0.6033	0.5807	0.6248	1.1121	7.88	0.00050	1	1
v_nofewshot	raw	uniform	world	veto	86	0.5079	0.3916	0.5546	0.6631	0.5213	0.3839	0.3742	-0.1877	0.1161	0.0683	0.1659	0.7251	0.4664	1.0279	0.4282	0.8123	-0.0133	-0.0546	0.0291	0.6957	0.6255	0.7694	1.3657	4.56	0.00050	1	1
v_nofewshot	raw	signed	intrinsic	tau_b	300	0.5950	0.5363	0.5897	0.9992	0.6437	0.6272	0.7703	0.5890	0.0588	0.0282	0.0891	1.1587	0.5415	2.0783	0.1270	2.1429	-0.0484	-0.0758	-0.0211	0.0060	-0.0266	0.0387	0.7724	3.76	0.00050	1	1
v_nofewshot	raw	signed	intrinsic	top1	300	0.6417	0.6110	0.6423	0.9987	0.6843	0.6837	0.7890	0.6414	0.0306	-0.0049	0.0638	1.1041	-1.1403	5.2597	0.0789	2.5125	-0.0430	-0.0793	-0.0073	0.0003	-0.0423	0.0417	0.8133	1.69	0.09500	0	0
v_nofewshot	raw	signed	intrinsic	pair	300	0.7975	0.7682	0.7948	0.9996	0.8218	0.8136	0.8852	0.7948	0.0293	0.0137	0.0445	1.1563	0.5532	2.0519	0.1269	2.1455	-0.0245	-0.0384	-0.0111	0.0029	-0.0134	0.0183	0.9010	3.82	0.00050	1	1
